title	URL	item_id	seller	seller_id	销量
【正品国行】Canon/佳能700D 18-55套机（18-135stm）媲D7200 70D	http://world.taobao.com/item/522033862841.htm#detail	522033862841	腾佳数码	316983842	239
最新现货 送微距环Canon/佳能EOS 700D套机(18-55mm)STM单反相机	http://world.taobao.com/item/16831203027.htm#detail	16831203027	tb3902486_11	798505308	196
全新正品Canon/佳能EOS 1200D套机18-55mm高清单反数码相机媲700D	http://world.taobao.com/item/522731191237.htm#detail	522731191237	时尚52shou	724459891	178
全国联保 Canon/佳能70D套机18-135 STM镜头单反相机媲700D 1200D	http://world.taobao.com/item/522930427357.htm#detail	522930427357	张汉伟56	926894306	173
Canon/佳能EOS 700D套机18-55STM18-135STM单反相机 媲70D 1200D	http://world.taobao.com/item/524141420768.htm#detail	524141420768	张汉伟56	926894306	170
【蚂蚁摄影】单反数码照相机Canon/佳能 700D 18-55套机联保行货	http://world.tmall.com/item/44231886556.htm#detail	44231886556	搜酷数码专营店	2124156138	156
北京总代理 佳能 700D(18-55/18-135IS)STM 套机 全国联保	http://world.taobao.com/item/27462844289.htm#detail	27462844289	理光金牌代理	66301655	151
全新正品Canon/佳能EOS 1200D套机18-55mm高清单反数码相机媲700D	http://world.taobao.com/item/524165786405.htm#detail	524165786405	mahongkai1238	1705276615	150
【大陆行货 全国联保】 佳能EOS 700D套机18-55 STM 18-135 STM	http://world.taobao.com/item/38663832002.htm#detail	38663832002	1号淘宝店	1038845961	148
佳能700d单机佳能700d18-55套机佳能700d18-135套机 正品国行	http://world.taobao.com/item/522178542327.htm#detail	522178542327	zhangweizhou8	380606600	121
【送全国联保】佳能700d 套机18-55mm 18-135 STM单反相机单机EOS	http://world.taobao.com/item/36910165248.htm#detail	36910165248	sheaere	20807624	120
送全国联保 Canon/佳能EOS700D (18-55STM)套机 佳能700D单反相机	http://world.taobao.com/item/19999809846.htm#detail	19999809846	驰骋数码	73309103	115
Canon/佳能 EOS 100D 套机18-55mm STM专业单反数码相机媲700D	http://world.taobao.com/item/42395844697.htm#detail	42395844697	tb3902486_11	798505308	98
Canon/佳能单反相机700D/18-135STM套机 700D大套 正品 全国联保	http://world.tmall.com/item/24284004492.htm#detail	24284004492	逸明恒业数码专营店	702410433	85
正品行货 佳能 700D(18-55/18-135IS)STM 套机 全国联保全新现货	http://world.taobao.com/item/524538433352.htm#detail	524538433352	欢韩数码正品商城	1715248866	76
Canon/佳能 700D(18-55)单反相机 700D套机单反　佳能单反相机	http://world.taobao.com/item/39237426326.htm#detail	39237426326	潘潘数码e站	27842699	72
正品佳能单反Canon/佳能EOS 1200D套机18-55mm数码相机媲700D单反	http://world.taobao.com/item/523100968788.htm#detail	523100968788	王林光98	406184929	71
全国专业家用单反相机出租租赁 旅游 佳能 600D 700D 750D 760D	http://world.taobao.com/item/43081453457.htm#detail	43081453457	实在山东人数码店	759635700	51
Canon/佳能EOS 700D 单反相机700D/18-55 18-135stm镜头 700D套机	http://world.taobao.com/item/20167630571.htm#detail	20167630571	这里最便宜1	66753804	48
Canon/佳能700d 18-55 stm套机700D 小套  佳能入门单反 全国联保	http://world.tmall.com/item/18049170006.htm#detail	18049170006	逸明恒业数码专营店	702410433	47
Canon/佳能 700D套机(18-135mm) 佳能 700D 18-135 STM 单反相机	http://world.tmall.com/item/37530410241.htm#detail	37530410241	canon好当买专卖店	1993268180	41
立减现金 送微距环 佳能700D套机 700D 18-135 STM 套机单反相机	http://world.taobao.com/item/20042241298.htm#detail	20042241298	tb3902486_11	798505308	35
新到特促 佳能700D单反相机700D/18-55 18-135 STM套机 入门单反	http://world.taobao.com/item/37901709799.htm#detail	37901709799	数码名仕	1052463725	32
【直降150】蚂蚁摄影 单反数码相机Canon/佳能700D 18-135 套机	http://world.tmall.com/item/44796687857.htm#detail	44796687857	搜酷数码专营店	2124156138	32
6期免息【送16G卡】Canon/佳能 EOS 700D套机(18-55mm)单反相机	http://world.tmall.com/item/35454140792.htm#detail	35454140792	绿森数码官方旗舰店	197232874	28
正品行货 Canon/佳能 EOS 700D 套机 18-55 STM 专业单反数码相机	http://world.taobao.com/item/42681494957.htm#detail	42681494957	唛哩唛哩轰2013	1095264116	22
Canon/佳能70D套机18-135IS STM 18-200镜头单反相机胜700D750D	http://world.taobao.com/item/40018763001.htm#detail	40018763001	鼎好数码大卖场	119954678	21
Canon/佳能 EOS 700D 套机 18-55STM 专业单反相机 正品全国联保	http://world.taobao.com/item/44021641588.htm#detail	44021641588	诚信数码信誉第一	1985490049	20
全新佳能EOS 600d 单反数码相机 套机 500d 550d 650d 700d 特价	http://world.taobao.com/item/38022677471.htm#detail	38022677471	创业数码批发商城	751926569	20
Canon/佳能EOS 600D套机 全新正品单反数码相机 特价媲700D d760D	http://world.taobao.com/item/19416653465.htm#detail	19416653465	闽皖有约	391751820	19
分期购Canon/佳能70D套机18-135 STM镜头单反相机 胜700D750D媲6D	http://world.taobao.com/item/522686938898.htm#detail	522686938898	拓者数码	2007128065	15
全新原装 佳能EOS 700D套机18-135STM境头650D单反相机正品特价	http://world.taobao.com/item/520740329114.htm#detail	520740329114	非诚数码	2030377521	14
【全新】佳能60D单反数码相机 套机身正品700D 超70D 750D D7100	http://world.taobao.com/item/20102518135.htm#detail	20102518135	hutu202	83176339	14
佳能 600D 正品数码单反相机超D5300 D3200 1200D 700D 750D 760D	http://world.taobao.com/item/18028878908.htm#detail	18028878908	hutu202	83176339	13
全新原装佳能EOS 60D单反相机18-135IS套机正品特价 超70D 700D	http://world.taobao.com/item/520746136848.htm#detail	520746136848	冠冠数码	2102016335	13
[促销] Canon/佳能 EOS 700D 单反套机 EF-S 18-55mm	http://world.tmall.com/item/42070892819.htm#detail	42070892819	佳能官方旗舰店	2134802284	13
【蚂蚁摄影】正品行货 入门单反数码相机Canon/佳能 700D套机特价	http://world.tmall.com/item/520951779438.htm#detail	520951779438	蚂蚁数码专营店	2495829718	12
